Zip Code,Population,Total_female_population,Actual_Mean_Income,Land_area,Housing Unit,Latitude,Longitude
6390,236,132,62117,10555961,660,41.2735763,-71.9689932
10001,21102,3512,75892,1609401,12476,40.750672,-73.9972808
10002,81410,11216,148762,2277670,34541,40.7157619,-73.986258
10003,56024,40462,67277,1493004,31078,40.7318292,-73.9891809
10004,3089,29342,145683,1449744,2197,40.6886296,-74.0182442
10005,7135,1644,136817,190416,5317,40.7059736,-74.0087681
10006,3011,4509,144209,237784,1991,40.7096144,-74.0129537
10007,6988,1895,143477,423358,3143,40.7138637,-74.0078064
10009,61347,2764,291419,1596985,31709,40.726408,-73.978636
10010,31834,33145,81947,1011819,18030,40.7390449,-73.9822316
10011,50984,16248,141144,1705243,33252,40.7420017,-74.000594
10012,24090,24951,170416,837301,14633,40.7255806,-73.9980784
10013,27700,11930,126492,1430444,13460,40.720107,-74.0049277
10014,31959,14223,203095,1474952,21689,40.7336977,-74.0070331
10016,54183,15363,165498,1378326,35617,40.7452204,-73.9782938
10017,16575,27569,131844,829152,12875,40.7523468,-73.9724169
10018,5229,8627,139438,833392,4425,40.7553294,-73.9931272
10019,42870,4866,119064,1761259,31404,40.765793,-73.9870674
10020,0,19336,136531,71560,0,40.7582363,-73.978833
10021,43631,0,-,1002597,28628,40.7691586,-73.9586301
10022,31924,25089,168892,1130199,23485,40.7585548,-73.9678171
10023,60998,16750,181370,1270408,39402,40.7759212,-73.9826066
10024,59283,33072,177864,2221831,33952,40.798452,-73.9744135
10025,94600,31606,179029,1946717,47617,40.7986009,-73.9666227
10026,34003,52870,128710,860745,15823,40.8023805,-73.9526814
10027,59707,20370,79972,2257092,25071,40.811819,-73.9532236
10028,45141,34239,68191,813698,28139,40.7764265,-73.9534932
10029,76003,26962,165030,2136945,31121,40.7916981,-73.9438757
10030,26999,43120,65653,722465,12976,40.8182666,-73.9428564
10031,56438,15828,56440,1685544,22604,40.8252941,-73.9500562
10032,57331,30619,51006,1702842,21417,40.8388244,-73.9428461
10033,53926,31324,43496,1565761,20116,40.8505376,-73.9338627
10034,38908,29316,54229,2917184,15671,40.86723,-73.9244152
10035,33969,22768,52053,3616216,13935,40.7956523,-73.9297309
10036,24711,17239,54101,1148108,17958,40.7592804,-73.9899094
10037,17416,11359,116170,683722,9451,40.8129844,-73.937285
10038,20300,11350,60475,770757,10211,40.7093204,-74.0025324
10039,24527,11891,114297,1199364,10868,40.8308558,-73.9360686
10040,41905,15226,48472,976162,16506,40.8582976,-73.9305196
10044,11661,24023,50137,625938,4913,40.7620505,-73.949933
10065,32270,6323,107620,1000544,22754,40.764584,-73.9630128
10069,5199,16867,181160,269802,3146,40.7759783,-73.9905277
10075,26121,2658,202371,477958,16493,40.7733565,-73.9562081
10103,3,13198,159811,24776,0,40.7607797,-73.9776696
10110,0,0,-,26711,0,40.7544986,-73.9822564
10111,0,0,-,9576,0,40.759114,-73.977596
10112,0,0,-,15253,0,40.7591675,-73.9796681
10115,0,0,-,6618,0,40.8108519,-73.9637437
10119,92,0,-,42613,0,40.7503098,-73.9929788
10128,60453,0,-,1219025,35240,40.7814298,-73.9499423
10152,0,36195,142577,12423,0,40.7584035,-73.9720314
10153,0,0,-,12281,0,40.7636221,-73.9724387
10154,0,0,-,12382,0,40.7577785,-73.9724875
10162,1685,0,-,29442,824,40.7692984,-73.9499422
10165,2,678,N,13058,2,40.752131,-73.9787223
10167,0,0,-,12396,0,40.7546485,-73.974771
10168,0,0,-,13211,0,40.7514484,-73.9771032
10169,0,0,-,9924,0,40.7543913,-73.9760984
10170,2,0,-,24921,0,40.7526253,-73.9758766
10171,0,0,-,12470,0,40.7558993,-73.9738583
10172,0,0,-,12415,0,40.7552733,-73.9743148
10173,2,0,-,12297,0,40.7541306,-73.9793637
10174,0,0,-,13224,0,40.751441,-73.9750035
10177,0,0,-,5421,0,40.7551387,-73.9759337
10199,9,0,-,66729,1,40.7513926,-73.9972289
10271,0,0,-,6779,0,40.7082356,-74.0105414
10278,0,0,-,33630,0,40.7151821,-74.0037784
10279,0,0,-,10805,0,40.7126262,-74.0086688
10280,7853,0,-,358650,4962,40.7087777,-74.0168084
10282,4783,4924,163001,226578,2484,40.7166515,-74.0153753
10301,39706,2727,240583,9476759,16261,40.6274561,-74.0944067
10302,19088,20025,66048,3093431,6427,40.6306882,-74.1377756
10303,26337,8624,55855,8125465,8811,40.6298846,-74.1741296
10304,42193,12968,55466,10035690,15467,40.6079938,-74.0928591
10305,41749,22119,69535,11011994,16187,40.5966907,-74.0748662
10306,55909,21680,65419,19355176,22017,40.5717679,-74.1259504
10307,14096,29012,70803,5082132,5354,40.5083206,-74.2371373
10308,27357,7794,82199,5110510,10715,40.551884,-74.1476456
10309,32519,15637,70765,17402201,11686,40.5315155,-74.2209706
10310,24962,16693,79999,4650151,9043,40.6326485,-74.1161481
10311,0,12435,68626,122886,0,40.6052412,-74.1795026
10312,59304,0,-,19887900,22155,40.5453938,-74.1809141
10314,85510,31405,74409,35520695,32533,40.5992625,-74.165748
10451,45713,45837,70611,2628487,17779,40.8204787,-73.9250841
10452,75371,26264,46460,2550148,25866,40.8373899,-73.9234295
10453,78309,40786,36340,2372412,27018,40.8527788,-73.9123318
10454,37337,44396,33326,2699702,12772,40.8055176,-73.9165896
10455,39665,20124,34516,1844518,13851,40.81471,-73.9085917
10456,86547,22025,34553,2637787,29651,40.8298806,-73.90812
10457,70496,50436,36600,2748734,24364,40.8471495,-73.898678
10458,79492,38870,34410,2613249,27806,40.8625453,-73.8881454
10459,47308,42366,40382,2115928,16496,40.8258746,-73.8929714
10460,57311,25283,33703,3407078,20706,40.8417639,-73.8795691
10461,50502,32677,36004,6215148,21127,40.8474345,-73.8405536
10462,75784,25951,55825,3833088,31331,40.8432795,-73.8603886
10463,67970,41802,49829,3745408,30368,40.8806784,-73.9065404
10464,4534,37317,64897,9070627,2272,40.8677868,-73.7999204
10465,42230,2283,78506,8882828,16889,40.8232769,-73.8256019
10466,67813,23246,67373,5227062,24854,40.8909641,-73.8462394
10467,97060,39004,47336,6035762,37432,40.8699533,-73.8656955
10468,76103,53422,42031,2784853,26178,40.8689655,-73.8999436
10469,66631,39556,38959,6414680,24078,40.8685697,-73.8482176
10470,15293,38981,51857,3689950,6882,40.8895273,-73.8726596
10471,22922,7497,56244,6687174,10054,40.8988142,-73.9033099
10472,66358,11426,91300,2720837,23386,40.8295557,-73.8693594
10473,58519,35616,35638,5645604,21323,40.8186904,-73.8584741
10474,12281,34209,45936,3970898,3985,40.8106143,-73.8844115
10475,40931,6026,35723,4463108,18911,40.875259,-73.823817
10501,1219,25344,51434,3624479,395,41.2956079,-73.7584898
10502,5487,610,107279,5491263,1973,41.0116021,-73.8414334
10503,108,2828,137560,38497,84,41.0265555,-73.8753095
10504,7987,76,N,42167008,2735,41.1284683,-73.7075205
10505,851,3930,257241,1689634,233,41.3420895,-73.7454489
10506,5790,538,173067,42345182,2139,41.190889,-73.6384791
10507,6408,3155,261712,18925701,2209,41.2278962,-73.6860475
10509,19507,3999,110634,93497187,7457,41.4108547,-73.5943395
10510,9988,9640,76656,25699181,3562,41.1389974,-73.8348915
10511,2246,5500,170070,3796934,943,41.2654277,-73.9431922
10512,25590,1133,70356,141305626,10241,41.4442016,-73.7142347
10514,11946,12891,82455,33207916,4033,41.1723298,-73.7689478
10516,5289,6208,238315,81617955,2412,41.4620996,-73.8750025
10517,539,2633,91338,850209,224,41.2982431,-73.8619929
10518,1268,293,62209,8929933,466,41.2661596,-73.5882514
10519,316,758,147197,1927174,133,41.3523455,-73.6526622
10520,12810,74,N,35631980,5540,41.2264784,-73.8677872
