GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US06390,6390,ZCTA5 06390,291,113,144,58,147,60,47.6,10.6,51,19.3,45.3,14.3,98,22,(X),(X),(X),(X),49.2,39,(X),(X),(X),(X),22.1,19.7,(X),(X),(X),(X),27.2,23.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,21966,1552,10732,1017,11234,940,34.7,1.3,37.8,1.8,31,1.9,95.5,10.5,(X),(X),(X),(X),26.6,5.7,(X),(X),(X),(X),13.5,1.8,(X),(X),(X),(X),13.1,5.5,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,82191,2595,39802,1860,42389,1534,39.8,1,38.3,1,41.1,1.5,93.9,5.1,(X),(X),(X),(X),49.7,3,(X),(X),(X),(X),26.3,2.3,(X),(X),(X),(X),23.3,1.8,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),5.3,(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,57310,1844,27442,1289,29868,1431,32.3,0.7,33.7,1.2,31.1,0.9,91.9,6.4,(X),(X),(X),(X),20.2,1.5,(X),(X),(X),(X),12.2,1.3,(X),(X),(X),(X),8,0.9,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.6,(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,2807,450,1469,261,1338,302,33.1,3.6,37.2,3,30.2,1.4,109.8,28,(X),(X),(X),(X),22.4,7.3,(X),(X),(X),(X),4.3,3.1,(X),(X),(X),(X),18.1,6.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,6822,783,3463,566,3359,515,28.6,0.8,29.8,1.4,27.7,1,103.1,22.6,(X),(X),(X),(X),7.2,2.9,(X),(X),(X),(X),0.4,0.6,(X),(X),(X),(X),6.8,2.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,2507,381,1137,229,1370,231,31.3,1.3,31.2,1.5,31.4,3.1,83,17.4,(X),(X),(X),(X),8.7,4.4,(X),(X),(X),(X),1.7,0.6,(X),(X),(X),(X),7,4.3,(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,6525,640,3661,456,2864,321,34,1,34.7,1.9,33.2,1.5,127.8,17.5,(X),(X),(X),(X),26.2,5,(X),(X),(X),(X),3.5,1.7,(X),(X),(X),(X),22.6,4.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,62810,1747,28842,1478,33968,1412,36.3,1.2,35.1,1.7,37.2,2.2,84.9,6.3,(X),(X),(X),(X),32.3,2.6,(X),(X),(X),(X),17.6,1.6,(X),(X),(X),(X),14.7,1.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,30670,1338,14327,1021,16343,1078,35.1,1,35.4,1.7,34.9,1.9,87.7,9.2,(X),(X),(X),(X),26.7,2.7,(X),(X),(X),(X),16.2,1.9,(X),(X),(X),(X),10.5,1.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.3,(X),(X),(X),(X),(X)
