GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Households; Estimate; Total
HC01_MOE_VC01,Households; Margin of Error; Total
HC02_EST_VC01,Families; Estimate; Total
HC02_MOE_VC01,Families; Margin of Error; Total
HC03_EST_VC01,Married-couple families; Estimate; Total
HC03_MOE_VC01,Married-couple families; Margin of Error; Total
HC04_EST_VC01,Nonfamily households; Estimate; Total
HC04_MOE_VC01,Nonfamily households; Margin of Error; Total
HC01_EST_VC13,Households; Estimate; Median income (dollars)
HC01_MOE_VC13,Households; Margin of Error; Median income (dollars)
HC02_EST_VC13,Families; Estimate; Median income (dollars)
HC02_MOE_VC13,Families; Margin of Error; Median income (dollars)
HC03_EST_VC13,Married-couple families; Estimate; Median income (dollars)
HC03_MOE_VC13,Married-couple families; Margin of Error; Median income (dollars)
HC04_EST_VC13,Nonfamily households; Estimate; Median income (dollars)
HC04_MOE_VC13,Nonfamily households; Margin of Error; Median income (dollars)
HC01_EST_VC15,Households; Estimate; Mean income (dollars)
HC01_MOE_VC15,Households; Margin of Error; Mean income (dollars)
HC02_EST_VC15,Families; Estimate; Mean income (dollars)
HC02_MOE_VC15,Families; Margin of Error; Mean income (dollars)
HC03_EST_VC15,Married-couple families; Estimate; Mean income (dollars)
HC03_MOE_VC15,Married-couple families; Margin of Error; Mean income (dollars)
HC04_EST_VC15,Nonfamily households; Estimate; Mean income (dollars)
HC04_MOE_VC15,Nonfamily households; Margin of Error; Mean income (dollars)
HC01_EST_VC18,Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months
HC01_MOE_VC18,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months
HC02_EST_VC18,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months
HC02_MOE_VC18,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months
HC03_EST_VC18,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months
HC03_MOE_VC18,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months
HC04_EST_VC18,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months
HC04_MOE_VC18,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months
