GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US06390,6390,ZCTA5 06390,134,54,94,43,79,38,40,33,151083,13297,147500,19625,151250,33967,(X),(X),168193,34001,144333,27129,N,N,224263,83827,41,(X),(X),(X),(X),(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11639,506,3668,451,2734,412,7971,524,86801,10346,91418,12053,(X),(X),80823,11337,158183,25853,179351,28737,N,N,147978,33847,24,(X),(X),(X),(X),(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,33348,548,17572,657,9991,617,15776,665,33726,3127,34755,4544,(X),(X),27472,3792,61946,2672,57927,4110,69979,6108,64542,5495,32.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27487,679,7331,581,6135,511,20156,849,98151,5628,156642,18981,(X),(X),86081,3552,161692,10734,254227,29785,N,N,127381,7777,23.8,(X),(X),(X),(X),(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1574,201,591,137,502,120,983,191,119691,15833,224484,52225,(X),(X),95444,15507,177262,24337,287797,48923,N,N,109722,17641,22.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4252,396,1270,274,1127,279,2982,399,124194,10342,196011,41719,(X),(X),109556,11235,176424,28643,261819,64592,N,N,135924,26783,25.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1745,225,453,123,362,110,1292,206,123691,27459,141369,76393,176500,94307,103023,34723,162688,23020,176921,35835,N,N,156322,29206,21.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2781,229,1428,187,1315,170,1353,214,"250,000+",***,"250,000+",***,(X),(X),155665,36152,441278,56347,570723,84593,N,N,304243,61991,15.7,(X),(X),(X),(X),(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29770,465,10991,774,6004,653,18779,790,59090,5355,58913,7933,105057,18320,58095,8830,85207,5441,101346,11401,N,N,74995,5332,24.5,(X),(X),(X),(X),(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16050,639,4482,453,3419,428,11568,654,101718,7116,154000,35793,(X),(X),86075,9660,154979,9747,215431,22135,N,N,131039,10459,23.6,(X),(X),(X),(X),(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,29762,985,9004,730,7038,718,20758,965,109818,7540,178875,17451,(X),(X),92359,9898,196817,12211,304892,29328,N,N,144530,11465,22.3,(X),(X),(X),(X),(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,12470,442,3599,352,2984,285,8871,466,100859,5399,149313,15029,(X),(X),84274,9473,141430,9309,196493,21403,N,N,118524,9337,25.1,(X),(X),(X),(X),(X),(X),(X)
8600000US10013,10013,ZCTA5 10013,11558,507,5728,526,4558,456,5830,464,96667,17159,117453,14115,(X),(X),73828,16273,242875,27704,305147,34696,N,N,181219,43046,30.2,(X),(X),(X),(X),(X),(X),(X)
8600000US10014,10014,ZCTA5 10014,18786,671,4285,447,3689,407,14501,724,113973,10369,184570,25349,201362,20125,92307,6598,179375,9550,288229,33508,N,N,146826,10350,21.1,(X),(X),(X),(X),(X),(X),(X)
