GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC04,"Total; Estimate; Full-time, year-round workers with earnings"
HC01_MOE_VC04,"Total; Margin of Error; Full-time, year-round workers with earnings"
HC02_EST_VC04,"Male; Estimate; Full-time, year-round workers with earnings"
HC02_MOE_VC04,"Male; Margin of Error; Full-time, year-round workers with earnings"
HC03_EST_VC04,"Female; Estimate; Full-time, year-round workers with earnings"
HC03_MOE_VC04,"Female; Margin of Error; Full-time, year-round workers with earnings"
HC01_EST_VC15,Total; Estimate; Median earnings (dollars)
HC01_MOE_VC15,Total; Margin of Error; Median earnings (dollars)
HC02_EST_VC15,Male; Estimate; Median earnings (dollars)
HC02_MOE_VC15,Male; Margin of Error; Median earnings (dollars)
HC03_EST_VC15,Female; Estimate; Median earnings (dollars)
HC03_MOE_VC15,Female; Margin of Error; Median earnings (dollars)
HC01_EST_VC16,Total; Estimate; Mean earnings (dollars)
HC01_MOE_VC16,Total; Margin of Error; Mean earnings (dollars)
HC02_EST_VC16,Male; Estimate; Mean earnings (dollars)
HC02_MOE_VC16,Male; Margin of Error; Mean earnings (dollars)
HC03_EST_VC16,Female; Estimate; Mean earnings (dollars)
HC03_MOE_VC16,Female; Margin of Error; Mean earnings (dollars)
