GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,Actual_Mean_Income,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16
8600000US06390,6390,ZCTA5 06390,93,56,62,36,31,25,(X),(X),51719,1204,42014,7160,62117,15509,68473,21506,49406,10173
8600000US07421,7421,ZCTA5 07421,2668,305,1725,219,943,159,(X),(X),70602,8033,51932,7959,75892,6978,79521,7380,69254,12996
8600000US10001,10001,ZCTA5 10001,10568,719,6720,618,3848,443,(X),(X),100380,12262,80795,7782,148762,17467,167139,26532,116669,15291
8600000US10002,10002,ZCTA5 10002,24824,1312,13760,1079,11064,836,(X),(X),51289,4301,46638,3814,67277,3116,75189,4924,57438,3685
8600000US10003,10003,ZCTA5 10003,24709,1247,12956,848,11753,826,(X),(X),106031,7255,81565,3907,145683,9476,172948,16434,115628,7978
8600000US10004,10004,ZCTA5 10004,1728,325,858,173,870,240,(X),(X),104041,11965,104107,16971,136817,19378,161371,31907,112602,18868
8600000US10005,10005,ZCTA5 10005,5498,662,2875,426,2623,544,(X),(X),128340,25972,77112,9410,144209,17273,184997,31657,99502,15158
8600000US10006,10006,ZCTA5 10006,2046,330,1046,199,1000,240,(X),(X),115200,25986,80517,27715,143477,26331,169724,38413,116023,31531
8600000US10007,10007,ZCTA5 10007,3287,381,1968,269,1319,215,(X),(X),"250,000+",***,151140,34258,291419,39737,346153,53138,209753,44197
8600000US10009,10009,ZCTA5 10009,25335,1383,12268,1114,13067,1079,(X),(X),72906,5399,62679,4199,81947,4538,85013,6076,79069,5149
8600000US10010,10010,ZCTA5 10010,15945,1407,8600,973,7345,826,(X),(X),112538,12494,93989,12081,141144,11562,157614,18230,121860,10811
8600000US10011,10011,ZCTA5 10011,25880,1599,14487,1174,11393,863,(X),(X),120332,7978,91719,3714,170416,12653,200001,16528,132796,12120
8600000US10012,10012,ZCTA5 10012,12210,1022,6923,786,5287,588,(X),(X),101089,5589,82421,6963,126492,7971,142328,11741,105756,9383
8600000US10013,10013,ZCTA5 10013,11964,812,6892,564,5072,510,(X),(X),117327,13945,80992,8368,203095,15455,242604,27281,149410,19703
8600000US10014,10014,ZCTA5 10014,17069,991,9514,791,7555,737,(X),(X),131250,13605,91319,3591,165498,11222,200702,15992,121166,9164
8600000US10016,10016,ZCTA5 10016,27525,1481,13875,999,13650,1268,(X),(X),103979,6873,85060,7134,131844,7945,157660,11855,105602,7645
8600000US10017,10017,ZCTA5 10017,9750,1005,5184,821,4566,574,(X),(X),103238,16773,80272,9957,139438,12072,163508,23278,112111,12309
8600000US10018,10018,ZCTA5 10018,5589,467,3294,432,2295,348,(X),(X),100968,7987,82139,14256,119064,11135,134910,16126,96320,12163
8600000US10019,10019,ZCTA5 10019,20265,1587,11483,1085,8782,900,(X),(X),103051,4507,82824,7555,136531,8474,155862,10751,111253,11577
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10021,10021,ZCTA5 10021,20670,1567,10580,1059,10090,1049,(X),(X),106734,20084,91235,8573,168892,13662,211105,23565,124629,12733
8600000US10022,10022,ZCTA5 10022,15113,1098,7676,790,7437,674,(X),(X),125866,15331,93181,5454,181370,19227,218662,28848,142880,16638
8600000US10023,10023,ZCTA5 10023,26562,1306,14603,1062,11959,888,(X),(X),141167,14291,99355,7006,177864,10737,214811,15370,132749,11762
8600000US10024,10024,ZCTA5 10024,25091,1421,12801,932,12290,998,(X),(X),120302,19751,86535,12739,179029,14324,217096,23266,139378,13575
8600000US10025,10025,ZCTA5 10025,33436,1634,16971,1192,16465,1138,(X),(X),101015,4574,71840,5930,128710,7103,156269,11697,100303,6985
8600000US10026,10026,ZCTA5 10026,13999,906,6978,592,7021,756,(X),(X),57091,7752,47665,3981,79972,5727,94427,8559,65606,6869
8600000US10027,10027,ZCTA5 10027,18594,1199,9809,785,8785,735,(X),(X),53419,3817,46771,3781,68191,4074,77029,6024,58322,3712
8600000US10028,10028,ZCTA5 10028,23269,1731,11674,1123,11595,1311,(X),(X),116563,19346,83464,6230,165030,13125,214658,19979,115064,10640
8600000US10029,10029,ZCTA5 10029,22749,1261,11806,937,10943,822,(X),(X),45498,6369,41819,2732,65653,4279,73884,6958,56773,3741
8600000US10030,10030,ZCTA5 10030,8777,719,4301,510,4476,533,(X),(X),41195,3974,44046,3383,56440,5260,62087,7752,51013,5840
8600000US10031,10031,ZCTA5 10031,20824,1253,12097,1034,8727,801,(X),(X),36731,2619,41008,4358,51006,3220,51068,4354,50922,3701
8600000US10032,10032,ZCTA5 10032,19969,1613,11589,1277,8380,849,(X),(X),33824,4099,34668,4151,43496,3026,42472,3244,44912,5608
8600000US10033,10033,ZCTA5 10033,18211,1118,10139,870,8072,720,(X),(X),42180,4415,40081,3131,54229,2463,56483,3759,51398,3404
8600000US10034,10034,ZCTA5 10034,14432,1133,8429,936,6003,594,(X),(X),41693,5635,40291,4607,52053,3154,53781,4477,49626,3583
8600000US10035,10035,ZCTA5 10035,9108,741,4818,517,4290,484,(X),(X),37253,5123,50648,3127,54101,3541,51706,5281,56791,3768
8600000US10036,10036,ZCTA5 10036,13819,990,8106,736,5713,671,(X),(X),101758,2631,70465,8166,116170,7192,129329,8420,97499,9448
8600000US10037,10037,ZCTA5 10037,6048,524,2515,379,3533,421,(X),(X),49094,14589,50163,5923,60475,6845,61443,8955,59787,9254
8600000US10038,10038,ZCTA5 10038,9276,733,5145,485,4131,561,(X),(X),87932,12788,68429,5815,114297,9111,138973,14715,83565,7350
8600000US10039,10039,ZCTA5 10039,7603,747,3517,534,4086,471,(X),(X),38277,5691,40737,2814,48472,3016,50241,5144,46950,4070
8600000US10040,10040,ZCTA5 10040,14624,1074,7687,657,6937,670,(X),(X),39330,4918,38646,4287,50137,2900,52527,3892,47489,3706
8600000US10044,10044,ZCTA5 10044,4154,469,1986,352,2168,409,(X),(X),112727,36982,67929,11678,107620,11761,140829,19634,77200,9691
8600000US10065,10065,ZCTA5 10065,15042,1094,7424,679,7618,748,(X),(X),135154,26158,83318,6531,181160,14788,242294,25585,121582,13030
8600000US10069,10069,ZCTA5 10069,2504,535,1349,351,1155,300,(X),(X),156605,40602,100160,24318,202371,35656,260240,61013,134782,25353
8600000US10075,10075,ZCTA5 10075,10679,1127,5347,882,5332,836,(X),(X),120139,44085,85422,14709,159811,19660,180284,31485,139280,23049
8600000US10103,10103,ZCTA5 10103,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10110,10110,ZCTA5 10110,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10111,10111,ZCTA5 10111,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10112,10112,ZCTA5 10112,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10115,10115,ZCTA5 10115,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10119,10119,ZCTA5 10119,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10128,10128,ZCTA5 10128,28972,1553,14028,987,14944,1043,(X),(X),103504,4966,74778,3366,142577,8138,183327,13986,104324,7387
8600000US10152,10152,ZCTA5 10152,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10153,10153,ZCTA5 10153,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10154,10154,ZCTA5 10154,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10162,10162,ZCTA5 10162,615,286,390,199,225,143,(X),(X),142278,113368,88897,88793,N,N,N,N,N,N
8600000US10165,10165,ZCTA5 10165,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10167,10167,ZCTA5 10167,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10168,10168,ZCTA5 10168,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10169,10169,ZCTA5 10169,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10170,10170,ZCTA5 10170,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10171,10171,ZCTA5 10171,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10172,10172,ZCTA5 10172,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10173,10173,ZCTA5 10173,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10174,10174,ZCTA5 10174,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10177,10177,ZCTA5 10177,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10199,10199,ZCTA5 10199,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10271,10271,ZCTA5 10271,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10278,10278,ZCTA5 10278,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10279,10279,ZCTA5 10279,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10280,10280,ZCTA5 10280,5374,564,2771,375,2603,368,(X),(X),129583,17190,98750,14394,163001,20535,180701,27020,144159,27823
8600000US10282,10282,ZCTA5 10282,2555,343,1428,230,1127,210,(X),(X),231915,50068,161164,26128,240583,31062,269921,44516,203408,31127
8600000US10301,10301,ZCTA5 10301,11934,698,6877,538,5057,361,(X),(X),53672,3072,52270,2421,66048,3014,69722,4583,61053,3403
8600000US10302,10302,ZCTA5 10302,5125,452,2892,347,2233,287,(X),(X),51633,7176,42923,4432,55855,3067,59465,4148,51178,3901
8600000US10303,10303,ZCTA5 10303,7387,510,3895,361,3492,285,(X),(X),51748,3501,46476,4648,55466,3105,59372,4281,51109,3087
8600000US10304,10304,ZCTA5 10304,13294,897,7487,679,5807,632,(X),(X),50113,6828,47389,5038,69535,5727,76896,9118,60044,4555
8600000US10305,10305,ZCTA5 10305,13758,732,7710,500,6048,466,(X),(X),61651,3350,48969,4148,65419,2722,71928,3838,57121,3238
8600000US10306,10306,ZCTA5 10306,18876,1017,10865,621,8011,616,(X),(X),66940,4193,52012,1694,70803,2654,76781,3264,62696,3835
8600000US10307,10307,ZCTA5 10307,4872,376,2706,305,2166,305,(X),(X),67425,10805,50365,7827,82199,11079,87439,9221,75652,22105
8600000US10308,10308,ZCTA5 10308,10626,772,5631,484,4995,517,(X),(X),67945,9101,53288,5211,70765,4565,81070,7559,59149,4149
8600000US10309,10309,ZCTA5 10309,11952,809,7090,533,4862,481,(X),(X),76314,5252,57890,8755,79999,4828,86054,6948,71168,7545
8600000US10310,10310,ZCTA5 10310,7350,556,4196,371,3154,297,(X),(X),68489,7918,51737,3696,68626,4011,70397,4717,66270,6539
8600000US10311,10311,ZCTA5 10311,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US10312,10312,ZCTA5 10312,21637,951,12337,624,9300,582,(X),(X),71127,4108,53083,4109,74409,2794,84137,4127,61503,3028
