GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US06390,6390,ZCTA5 06390,291,113
8600000US10001,10001,ZCTA5 10001,21966,1552
8600000US10002,10002,ZCTA5 10002,82191,2595
8600000US10003,10003,ZCTA5 10003,57310,1844
8600000US10004,10004,ZCTA5 10004,2807,450
8600000US10005,10005,ZCTA5 10005,6822,783
8600000US10006,10006,ZCTA5 10006,2507,381
8600000US10007,10007,ZCTA5 10007,6525,640
8600000US10009,10009,ZCTA5 10009,62810,1747
8600000US10010,10010,ZCTA5 10010,30670,1338
8600000US10011,10011,ZCTA5 10011,52167,2133
8600000US10012,10012,ZCTA5 10012,26145,1455
8600000US10013,10013,ZCTA5 10013,26065,1397
8600000US10014,10014,ZCTA5 10014,30597,1294
8600000US10016,10016,ZCTA5 10016,51196,1802
8600000US10017,10017,ZCTA5 10017,16129,1078
8600000US10018,10018,ZCTA5 10018,7021,560
8600000US10019,10019,ZCTA5 10019,38394,1625
8600000US10020,10020,ZCTA5 10020,0,12
8600000US10021,10021,ZCTA5 10021,40862,2143
8600000US10022,10022,ZCTA5 10022,29618,1420
8600000US10023,10023,ZCTA5 10023,61315,2096
8600000US10024,10024,ZCTA5 10024,59164,1996
8600000US10025,10025,ZCTA5 10025,97390,2691
8600000US10026,10026,ZCTA5 10026,37871,1817
8600000US10027,10027,ZCTA5 10027,62617,2149
8600000US10028,10028,ZCTA5 10028,44295,1945
8600000US10029,10029,ZCTA5 10029,77454,2469
8600000US10030,10030,ZCTA5 10030,28472,1524
8600000US10031,10031,ZCTA5 10031,59092,2520
8600000US10032,10032,ZCTA5 10032,59374,2177
8600000US10033,10033,ZCTA5 10033,58710,2105
8600000US10034,10034,ZCTA5 10034,41510,1744
8600000US10035,10035,ZCTA5 10035,33488,1457
8600000US10036,10036,ZCTA5 10036,23132,1284
8600000US10037,10037,ZCTA5 10037,17377,1176
8600000US10038,10038,ZCTA5 10038,20082,1316
8600000US10039,10039,ZCTA5 10039,26577,1484
8600000US10040,10040,ZCTA5 10040,44825,1803
8600000US10044,10044,ZCTA5 10044,12346,932
8600000US10065,10065,ZCTA5 10065,32797,1834
8600000US10069,10069,ZCTA5 10069,5118,929
8600000US10075,10075,ZCTA5 10075,24849,1902
8600000US10103,10103,ZCTA5 10103,0,12
8600000US10110,10110,ZCTA5 10110,2,3
8600000US10111,10111,ZCTA5 10111,0,12
8600000US10112,10112,ZCTA5 10112,0,12
8600000US10115,10115,ZCTA5 10115,0,12
8600000US10119,10119,ZCTA5 10119,0,12
8600000US10128,10128,ZCTA5 10128,60121,1667
8600000US10152,10152,ZCTA5 10152,0,12
8600000US10153,10153,ZCTA5 10153,0,12
8600000US10154,10154,ZCTA5 10154,0,12
8600000US10162,10162,ZCTA5 10162,1327,495
8600000US10165,10165,ZCTA5 10165,0,12
8600000US10167,10167,ZCTA5 10167,0,12
8600000US10168,10168,ZCTA5 10168,0,12
8600000US10169,10169,ZCTA5 10169,0,12
8600000US10170,10170,ZCTA5 10170,0,12
8600000US10171,10171,ZCTA5 10171,0,12
8600000US10172,10172,ZCTA5 10172,0,12
8600000US10173,10173,ZCTA5 10173,0,12
8600000US10174,10174,ZCTA5 10174,0,12
8600000US10177,10177,ZCTA5 10177,0,12
8600000US10199,10199,ZCTA5 10199,0,12
8600000US10271,10271,ZCTA5 10271,0,12
8600000US10278,10278,ZCTA5 10278,0,12
8600000US10279,10279,ZCTA5 10279,0,12
8600000US10280,10280,ZCTA5 10280,8685,1044
8600000US10282,10282,ZCTA5 10282,6217,998
8600000US10301,10301,ZCTA5 10301,38885,1510
8600000US10302,10302,ZCTA5 10302,16811,1172
8600000US10303,10303,ZCTA5 10303,24537,1156
8600000US10304,10304,ZCTA5 10304,43084,1868
8600000US10305,10305,ZCTA5 10305,42006,1359
8600000US10306,10306,ZCTA5 10306,55902,1610
8600000US10307,10307,ZCTA5 10307,14829,798
8600000US10308,10308,ZCTA5 10308,28939,1149
8600000US10309,10309,ZCTA5 10309,32646,1470
8600000US10310,10310,ZCTA5 10310,25227,1342
8600000US10311,10311,ZCTA5 10311,0,12
8600000US10312,10312,ZCTA5 10312,60081,1709
8600000US10314,10314,ZCTA5 10314,87276,1930
8600000US10451,10451,ZCTA5 10451,47069,2023
8600000US10452,10452,ZCTA5 10452,74931,2304
8600000US10453,10453,ZCTA5 10453,79793,2101
8600000US10454,10454,ZCTA5 10454,38089,1532
8600000US10455,10455,ZCTA5 10455,38576,1617
8600000US10456,10456,ZCTA5 10456,87723,2906
8600000US10457,10457,ZCTA5 10457,70282,2362
8600000US10458,10458,ZCTA5 10458,74859,2040
8600000US10459,10459,ZCTA5 10459,47977,1725
8600000US10460,10460,ZCTA5 10460,56084,1587
8600000US10461,10461,ZCTA5 10461,51730,1547
8600000US10462,10462,ZCTA5 10462,77369,1860
8600000US10463,10463,ZCTA5 10463,70420,2176
8600000US10464,10464,ZCTA5 10464,4248,580
8600000US10465,10465,ZCTA5 10465,44862,1910
8600000US10466,10466,ZCTA5 10466,70609,2369
8600000US10467,10467,ZCTA5 10467,98754,3004
8600000US10468,10468,ZCTA5 10468,71822,2216
8600000US10469,10469,ZCTA5 10469,71843,2409
8600000US10470,10470,ZCTA5 10470,14850,1092
8600000US10471,10471,ZCTA5 10471,22030,1217
8600000US10472,10472,ZCTA5 10472,68898,2371
8600000US10473,10473,ZCTA5 10473,58660,2061
8600000US10474,10474,ZCTA5 10474,12519,973
8600000US10475,10475,ZCTA5 10475,43231,2226
